,일시,지점,일최고기온(°C),일평균기온(°C),일최저기온(°C),동파가능지수(03h)(단계),동파가능지수(06h)(단계),동파가능지수(09h)(단계),동파가능지수(12h)(단계),동파가능지수(15h)(단계),동파가능지수(18h)(단계),동파가능지수(21h)(단계),동파가능지수(24h)(단계),한파특보(O/X)
0,2023-01-01,북강릉(104),0.5422781032917456,0.8014390265762864,0.778849274375169,0,0,0,0,0,0,0,0,0
1,2023-01-01,동해(106),0.9951007742885913,1.2810799261539751,1.3012786017121323,0,0,0,0,0,0,0,0,0
2,2023-01-01,서울(108),-0.2604529952935719,0.13411255759863228,0.3497108983483778,0,0,0,0,0,0,0,1,0
3,2023-01-01,인천(112),-0.3633672387019459,0.050696748976425496,0.38702727887244665,0,0,0,0,0,0,0,0,0
4,2023-01-01,원주(114),-0.11637305452184823,0.17582046190973563,0.4243436593965154,0,0,1,0,0,0,0,1,2
5,2023-01-01,울릉도(115),0.41878101120169664,1.1768101653762169,1.7304169777389236,0,0,0,0,0,0,0,0,0
6,2023-01-01,수원(119),-0.3222015413385963,-0.2621125333568499,-0.07942747767841343,0,0,0,0,0,0,0,0,0
7,2023-01-01,영월(121),0.04828973493155017,0.3009441748430458,0.5176346107066874,0,0,0,0,0,0,0,1,2
8,2023-01-01,충주(127),-0.05462450847682385,-0.30382043766795325,-0.3593003316089295,0,0,0,0,0,0,0,1,1
9,2023-01-01,서산(129),-0.07520735715849859,-0.07442696395688465,0.0884962346798961,0,0,0,0,0,0,0,0,0
10,2023-01-01,울진(130),1.0156836229702662,0.7805850744207347,0.44300184965854983,0,0,0,0,0,0,0,0,0
11,2023-01-01,청주(131),0.04828973493155017,0.11325860544308056,0.312394517824309,0,0,0,0,0,0,0,0,0
12,2023-01-01,대전(133),0.3981981625200219,0.008988844665322099,0.18178718599006813,0,0,0,0,0,0,0,0,0
13,2023-01-01,추풍령(135),-0.19870444924854752,0.32179812699859744,0.7228747035890659,0,0,0,0,0,0,0,0,0
14,2023-01-01,안동(136),0.3776153138383472,0.19667441406528732,-0.04211109715434476,0,0,0,0,0,0,0,0,1
15,2023-01-01,상주(137),0.3776153138383472,0.5720455528652177,0.8907984159473754,0,0,0,0,0,0,0,0,0
16,2023-01-01,포항(138),0.7481065901084935,0.9891245959762517,1.0773803185677195,0,0,0,0,0,0,0,0,0
17,2023-01-01,군산(140),0.19236967570327385,0.13411255759863228,0.312394517824309,0,0,0,0,0,0,0,0,0
18,2023-01-01,대구(143),0.41878101120169664,0.5303376485541145,0.4243436593965154,0,0,0,0,0,0,0,0,0
19,2023-01-01,전주(146),0.17178682702159911,0.3009441748430458,0.592267371754825,0,0,0,0,0,0,0,0,0
20,2023-01-01,울산(152),0.6451923467001194,1.0516864524429068,1.1333548893538228,0,0,0,0,0,0,0,0,0
21,2023-01-01,창원(155),0.43936385988337157,0.6763153136429763,0.592267371754825,0,0,0,0,0,0,0,0,0
22,2023-01-01,광주(156),0.3981981625200219,0.4469218399319076,0.6109255620168594,0,0,0,0,0,0,0,0,0
23,2023-01-01,부산(159),0.8716036821985426,1.0099785481318033,1.2266458406639948,0,0,0,0,0,0,0,0,0
24,2023-01-01,통영(162),0.8510208335168675,0.8431469308873898,0.8534820354233067,0,0,0,0,0,0,0,0,0
25,2023-01-01,목포(165),0.3776153138383472,0.7388771701096314,1.1146966990917884,0,0,0,0,0,0,0,0,0
26,2023-01-01,여수(168),0.706940892745144,1.0725404045984583,1.3572531724982355,0,0,0,0,0,0,0,0,0
27,2023-01-01,흑산도(169),0.6657751953817945,1.4062036390872854,1.8237079290490956,0,0,0,0,0,0,0,0,0
28,2023-01-01,완도(170),0.809855136153518,1.2810799261539751,1.6184678361667173,0,0,0,0,0,0,0,0,0
29,2023-01-01,고창(172),0.29528391911164786,0.07155070113197719,0.23776175677617128,0,0,0,0,0,0,0,0,0
30,2023-01-01,제주(184),1.2009292611053395,1.8649905865094225,2.1222389732416462,0,0,0,0,0,0,0,0,0
31,2023-01-01,진주(192),0.9127693795618921,0.25923627053194237,-0.34064214134689513,0,0,0,0,0,0,0,0,0
32,2023-01-01,양평(202),-0.03404165979514894,-0.03271905964578128,-0.0047947166302759175,0,0,1,0,0,0,0,1,1
33,2023-01-01,이천(203),0.08945543229489983,-0.1786967247346431,-0.28466757056079195,0,0,0,0,0,0,0,1,1
34,2023-01-01,인제(211),0.06887258361322508,-0.011865107490229588,-0.060769287416379096,0,1,1,0,0,0,1,1,2
35,2023-01-01,홍천(212),-0.11637305452184823,-0.30382043766795325,-0.2660093802987575,0,1,1,0,0,0,1,1,2
